,BLOCKLOT,DEMO:PROG,DEMO:Neighborhood,DEMO:Typology,DEMO:Address
0,0003054,1,SANDTOWN-WINCHESTER,I,1801 N MONROE ST
1,0003067A,1,SANDTOWN-WINCHESTER,I,1827 MCKEAN AVE
2,0004051,1,SANDTOWN-WINCHESTER,I,1700 WESTWOOD AVE
3,0004052,1,SANDTOWN-WINCHESTER,I,1702 WESTWOOD AVE
4,0004053,1,SANDTOWN-WINCHESTER,I,1704 WESTWOOD AVE
5,0004054,1,SANDTOWN-WINCHESTER,I,1706 WESTWOOD AVE
6,0005019,1,SANDTOWN-WINCHESTER,J,1679 W NORTH AVE
7,0005020,1,SANDTOWN-WINCHESTER,J,1681 W NORTH AVE
8,0006038A,1,EASTERWOOD,I,2016 PRESBURY ST
9,0006038B,1,EASTERWOOD,I,2018 PRESBURY ST
10,0007031,1,EASTERWOOD,I,1717 APPLETON ST
11,0008044,1,SANDTOWN-WINCHESTER,I,1704 MCKEAN AVE
12,0008045,1,SANDTOWN-WINCHESTER,I,1706 MCKEAN AVE
13,0008046,1,SANDTOWN-WINCHESTER,I,1708 MCKEAN AVE
14,0008047,1,SANDTOWN-WINCHESTER,I,1710 MCKEAN AVE
15,0008048,1,SANDTOWN-WINCHESTER,I,1712 MCKEAN AVE
16,0008049,1,SANDTOWN-WINCHESTER,I,1714 MCKEAN AVE
17,0008050,1,SANDTOWN-WINCHESTER,I,1716 MCKEAN AVE
18,0008051,1,SANDTOWN-WINCHESTER,I,1718 MCKEAN AVE
19,0009001,1,SANDTOWN-WINCHESTER,I,1701 N FULTON AVE
20,0009002,1,SANDTOWN-WINCHESTER,I,1703 N FULTON AVE
21,0009003,1,SANDTOWN-WINCHESTER,I,1705 N FULTON AVE
22,0009024,1,SANDTOWN-WINCHESTER,I,1721 WESTWOOD AVE
23,0009060,1,SANDTOWN-WINCHESTER,I,1701 N BRUCE ST
24,0010031,1,SANDTOWN-WINCHESTER,I,1701 N MOUNT ST
25,0010035,1,SANDTOWN-WINCHESTER,I,1618 PRESBURY ST
26,0010036,1,SANDTOWN-WINCHESTER,I,1616 PRESBURY ST
27,0010037,1,SANDTOWN-WINCHESTER,I,1614 PRESBURY ST
28,0010038,1,SANDTOWN-WINCHESTER,I,1612 PRESBURY ST
29,0010039,1,SANDTOWN-WINCHESTER,I,1610 PRESBURY ST
30,0012003,1,EASTERWOOD,I,1625 N PAYSON ST
31,0017004,1,SANDTOWN-WINCHESTER,I,1606 N CALHOUN ST
32,0017005,1,SANDTOWN-WINCHESTER,I,1608 N CALHOUN ST
