,BLOCKLOT,REC:PROG,REC:Neighborhood,REC:Address
0,3836A010,1,HARWOOD,2622 GREENMOUNT AVE
1,2484031,1,EDMONDSON VILLAGE,620 DENISON ST
2,1534011,1,BROADWAY EAST,2120 E BIDDLE ST
3,1676096,1,MCELDERRY PARK,401 N STREEPER ST
4,3230008,1,PARKVIEW/WOODBROOK,2815 PARKWOOD AVE
5,2849B007,1,WINDSOR HILLS,4022 DUVALL AVE
6,3349007,1,GREENSPRING,2610 LOYOLA NORTHWAY
7,4543A036,1,WOODMERE,5212 SAINT CHARLES AVE
8,2739003,1,CENTRAL FOREST PARK,4104 W FOREST PARK AVE
9,3059B004,1,HANLON-LONGWOOD,3213 PIEDMONT AVE
10,3463E018,1,RESERVOIR HILL,2517 LINDEN AVE
11,0168034,1,FRANKLIN SQUARE,232 N CAREY ST
12,2284008,1,ALLENDALE,3515 EDMONDSON AVE
13,0846035,1,WASHINGTON VILLAGE,409 S AMITY ST
14,0150005,1,FRANKLIN SQUARE,308 N GILMOR ST
15,2528K028,1,EDMONDSON VILLAGE,1202 N AUGUSTA AVE
16,3059B026,1,HANLON-LONGWOOD,2500 N ELLAMONT ST
17,3022004,1,WALBROOK,3027 WINDSOR AVE
18,0562020,1,DOWNTOWN,400 N HOWARD ST
19,0704021,1,CARROLLTON RIDGE,510 S MONROE ST
20,2283003,1,ALLENDALE,3407 EDMONDSON AVE
21,0217010,1,HOLLINS MARKET,1119 W BALTIMORE ST
22,2707006A,1,WEST ARLINGTON,4400 GARRISON BLVD
23,8245013,1,HOWARD PARK,3700 GWYNN OAK AVE
24,2506A013,1,EDMONDSON VILLAGE,715 MOUNT HOLLY ST
25,0200017,1,POPPLETON,1033 W FAYETTE ST
26,0711010,1,CARROLLTON RIDGE,1800 EAGLE ST
27,0711012,1,CARROLLTON RIDGE,1804 EAGLE ST
28,0711013,1,CARROLLTON RIDGE,1806 EAGLE ST
29,4511A037,1,ARLINGTON,5311 CORDELIA AVE
30,0711011,1,CARROLLTON RIDGE,1802 EAGLE ST
31,5158069,1,WOODBOURNE-MCCABE,538 SHERIDAN AVE
32,4057A068,1,WAVERLY,753 E 36TH ST
33,4804A011,1,CYLBURN,3020 VIRGINIA AVE
34,2393065,1,WINCHESTER,2701 WINCHESTER ST
35,0177003,1,PENROSE/FAYETTE STREET OUTREAC,1913 W LEXINGTON ST
36,2960019,1,DOLFIELD,3915 RIDGEWOOD AVE
37,0150006,1,FRANKLIN SQUARE,310 N GILMOR ST
38,4070A087,1,BETTER WAVERLY,2648 BOONE ST
39,4071034,1,BETTER WAVERLY,2708 MATHEWS ST
40,3327A024,1,PARK CIRCLE,3651 PARK HEIGHTS AVE
41,3325003,1,PARK CIRCLE,3504 PARK HEIGHTS AVE
42,0279016,1,NEW SOUTHWEST/MOUNT CLARE,311 S GILMOR ST
43,0279035,1,NEW SOUTHWEST/MOUNT CLARE,1520 RAMSAY ST
44,5898C017,1,BELAIR-PARKSIDE,3703 PARKSIDE DR
45,4600029,1,LANGSTON HUGHES,4909 CORDELIA AVE
46,1148012,1,OLIVER,1323 N CENTRAL AV
47,1137041,1,OLIVER,1413 N CAROLINE ST
48,3061B015,1,HANLON-LONGWOOD,2607 N HILTON ST
49,1640058,1,MCELDERRY PARK,2402 MCELDERRY ST
50,5953G013,1,FRANKFORD,4813 FRANKFORD AVE
51,0244024,1,UNION SQUARE,123 S FULTON AVE
52,0227049,1,CARROLLTON RIDGE,48 S FULTON AVE
53,0227048,1,CARROLLTON RIDGE,50 S FULTON AVE
54,1624004,1,,2406 E MONUMENT ST
55,2717004,1,DORCHESTER,4006 BOARMAN AVE
56,4589036,1,CENTRAL PARK HEIGHTS,5134 PEMBRIDGE AVE
57,0262045,1,NEW SOUTHWEST/MOUNT CLARE,1608 MCHENRY ST
58,0277062,1,NEW SOUTHWEST/MOUNT CLARE,1609 MCHENRY ST
59,4071059,1,BETTER WAVERLY,2702 BOONE ST
