REAL:Neighborhood,VAC:PROG,REC:PROG,ADOPT:PROG,BID:PROG,DEMO:PROG,CityOwned,CITYandANY,CITYandADOPT,CITYandDEMO,CITYandVAC,VACandREC,AnyProgram,TotalParcels
                                         ,0.0,0.0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0,13
ABELL                                    ,8.0,5.0,1.0,0.0,0.0,3,1,1.0,0.0,0.0,4.0,10,467
ALLENDALE                                ,59.0,9.0,18.0,0.0,0.0,32,18,18.0,0.0,0.0,2.0,84,1353
ARCADIA                                  ,3.0,6.0,1.0,0.0,0.0,1,1,1.0,0.0,0.0,1.0,9,468
ARLINGTON                                ,128.0,12.0,12.0,16.0,21.0,34,27,12.0,5.0,9.0,9.0,164,991
ARMISTEAD GARDENS                        ,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,18
ASHBURTON                                ,5.0,0.0,2.0,0.0,0.0,5,2,2.0,0.0,0.0,0.0,7,996
BALTIMORE HIGHLANDS                      ,35.0,10.0,1.0,0.0,3.0,1,1,1.0,1.0,0.0,6.0,42,1063
BARCLAY                                  ,79.0,33.0,61.0,3.0,11.0,146,74,60.0,6.0,10.0,23.0,158,1129
BARRE CIRCLE                             ,0.0,0.0,1.0,0.0,0.0,5,1,1.0,0.0,0.0,0.0,1,161
BAYVIEW                                  ,3.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,3,938
BEECHFIELD                               ,6.0,3.0,8.0,0.0,0.0,12,8,8.0,0.0,0.0,1.0,16,1347
BELAIR-EDISON                            ,142.0,25.0,6.0,0.0,0.0,18,6,6.0,0.0,0.0,18.0,155,6346
BELAIR-PARKSIDE                          ,2.0,1.0,1.0,0.0,0.0,2,1,1.0,0.0,0.0,0.0,4,174
BELLONA-GITTINGS                         ,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,248
BELVEDERE                                ,1.0,0.0,1.0,0.0,0.0,2,1,1.0,0.0,0.0,0.0,2,343
BEREA                                    ,181.0,9.0,11.0,11.0,49.0,43,25,11.0,8.0,6.0,8.0,242,1761
BETTER WAVERLY                           ,76.0,23.0,38.0,1.0,15.0,56,43,38.0,3.0,2.0,13.0,138,1145
BEVERLY HILLS                            ,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,321
BIDDLE STREET                            ,115.0,0.0,34.0,1.0,33.0,70,59,34.0,12.0,16.0,0.0,178,684
BLYTHEWOOD                               ,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,12
BOLTON HILL                              ,3.0,1.0,7.0,1.0,0.0,20,7,7.0,0.0,0.0,0.0,11,1058
BOYD-BOOTH                               ,164.0,1.0,22.0,10.0,49.0,60,54,22.0,11.0,23.0,1.0,233,501
BREWERS HILL                             ,2.0,0.0,1.0,0.0,0.0,2,1,1.0,0.0,0.0,0.0,3,826
BRIDGEVIEW/GREENLAWN                     ,37.0,7.0,2.0,1.0,11.0,10,5,2.0,2.0,1.0,3.0,55,730
BROADWAY EAST                            ,917.0,18.0,328.0,109.0,472.0,672,502,328.0,139.0,47.0,18.0,1705,3845
BROENING MANOR                           ,6.0,3.0,1.0,0.0,1.0,3,1,1.0,0.0,0.0,2.0,9,668
BROOKLYN                                 ,204.0,4.0,12.0,3.0,9.0,35,19,12.0,2.0,3.0,4.0,227,3143
BURLEITH-LEIGHTON                        ,7.0,3.0,17.0,0.0,0.0,16,15,15.0,0.0,0.0,3.0,24,358
BUTCHER'S HILL                           ,8.0,1.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,9,841
CALLAWAY-GARRISON                        ,19.0,4.0,2.0,0.0,0.0,3,2,2.0,0.0,0.0,2.0,23,552
CAMERON VILLAGE                          ,4.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,4,549
CANTON                                   ,18.0,6.0,1.0,0.0,1.0,19,1,1.0,0.0,0.0,4.0,22,6526
CANTON INDUSTRIAL AREA                   ,0.0,0.0,5.0,0.0,0.0,23,5,5.0,0.0,0.0,0.0,5,305
CARE                                     ,46.0,10.0,76.0,16.0,9.0,90,77,76.0,0.0,0.0,8.0,134,890
CARROLL - CAMDEN INDUSTRIAL AREA         ,2.0,0.0,3.0,0.0,0.0,16,3,3.0,0.0,0.0,0.0,5,177
CARROLL PARK                             ,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0,7
CARROLL-SOUTH HILTON                     ,67.0,0.0,5.0,1.0,3.0,15,6,5.0,0.0,0.0,0.0,76,717
CARROLLTON RIDGE                         ,793.0,16.0,41.0,42.0,115.0,97,88,41.0,6.0,29.0,12.0,961,2294
CEDARCROFT                               ,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,241
CEDMONT                                  ,7.0,2.0,0.0,0.0,2.0,5,1,0.0,1.0,0.0,0.0,11,1076
CEDONIA                                  ,6.0,1.0,0.0,0.0,0.0,13,0,0.0,0.0,0.0,1.0,6,901
CENTRAL FOREST PARK                      ,14.0,6.0,1.0,0.0,4.0,2,1,1.0,0.0,0.0,3.0,20,320
CENTRAL PARK HEIGHTS                     ,492.0,40.0,350.0,77.0,296.0,766,647,350.0,259.0,113.0,36.0,1066,2843
CHARLES NORTH                            ,10.0,3.0,0.0,0.0,0.0,11,0,0.0,0.0,0.0,3.0,10,342
CHARLES VILLAGE                          ,14.0,4.0,1.0,0.0,0.0,3,1,1.0,0.0,0.0,1.0,18,1492
CHERRY HILL                              ,60.0,3.0,2.0,3.0,0.0,13,3,2.0,0.0,0.0,3.0,63,1221
CHESWOLDE                                ,3.0,0.0,2.0,0.0,0.0,9,2,2.0,0.0,0.0,0.0,5,1417
CHINQUAPIN PARK                          ,1.0,0.0,0.0,0.0,0.0,5,0,0.0,0.0,0.0,0.0,1,563
CLIFTON PARK                             ,2.0,0.0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,0.0,2,30
COLDSPRING                               ,0.0,0.0,0.0,0.0,0.0,14,0,0.0,0.0,0.0,0.0,0,387
COLDSTREAM HOMESTEAD MONTEBELLO          ,396.0,33.0,51.0,3.0,196.0,262,214,49.0,159.0,17.0,25.0,638,3107
CONCERNED CITIZENS OF FOREST PARK        ,27.0,4.0,19.0,0.0,1.0,22,19,19.0,0.0,0.0,3.0,48,464
COPPIN HEIGHTS/ASH-CO-EAST               ,201.0,15.0,14.0,1.0,4.0,19,16,14.0,0.0,2.0,13.0,221,1302
CROSS COUNTRY                            ,2.0,0.0,1.0,0.0,0.0,3,1,1.0,0.0,0.0,0.0,3,1306
CROSS KEYS                               ,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0,811
CURTIS BAY                               ,128.0,17.0,12.0,0.0,4.0,28,12,12.0,0.0,0.0,15.0,146,1700
CURTIS BAY INDUSTRIAL AREA               ,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,27
CYLBURN                                  ,18.0,2.0,6.0,0.0,4.0,7,6,6.0,3.0,0.0,2.0,25,699
DARLEY PARK                              ,114.0,0.0,3.0,2.0,2.0,10,10,3.0,0.0,7.0,0.0,119,531
DICKEYVILLE                              ,0.0,0.0,1.0,0.0,0.0,2,1,1.0,0.0,0.0,0.0,1,132
DOLFIELD                                 ,20.0,6.0,6.0,0.0,3.0,11,6,6.0,0.0,0.0,5.0,30,652
DORCHESTER                               ,26.0,8.0,14.0,0.0,3.0,19,14,14.0,0.0,0.0,4.0,46,569
DOWNTOWN                                 ,54.0,5.0,1.0,0.0,1.0,119,18,1.0,1.0,16.0,3.0,58,1197
DOWNTOWN WEST                            ,0.0,0.0,0.0,0.0,0.0,21,0,0.0,0.0,0.0,0.0,0,54
DRUID HEIGHTS                            ,185.0,8.0,136.0,15.0,106.0,273,202,131.0,78.0,36.0,7.0,384,1043
DRUID HILL PARK                          ,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,3
DUNBAR-BROADWAY                          ,0.0,0.0,1.0,1.0,0.0,8,1,1.0,0.0,0.0,0.0,1,68
DUNDALK MARINE TERMINAL                  ,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,6
EAST ARLINGTON                           ,2.0,1.0,3.0,0.0,0.0,5,3,3.0,0.0,0.0,0.0,6,722
EAST BALTIMORE MIDWAY                    ,416.0,23.0,37.0,15.0,54.0,79,57,36.0,8.0,14.0,21.0,508,1808
EASTERWOOD                               ,177.0,1.0,8.0,4.0,9.0,17,13,8.0,0.0,5.0,1.0,195,761
EASTWOOD                                 ,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,290
EDGEWOOD                                 ,65.0,16.0,49.0,2.0,0.0,68,54,49.0,0.0,4.0,11.0,120,1056
EDMONDSON VILLAGE                        ,30.0,3.0,1.0,0.0,0.0,1,0,0.0,0.0,0.0,1.0,33,1351
EDNOR GARDENS-LAKESIDE                   ,14.0,0.0,4.0,0.0,0.0,9,4,4.0,0.0,0.0,0.0,18,1955
ELLWOOD PARK/MONUMENT                    ,153.0,17.0,7.0,0.0,0.0,10,7,7.0,0.0,0.0,11.0,166,1343
EVERGREEN                                ,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0,173
EVERGREEN LAWN                           ,18.0,6.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,5.0,19,416
EVESHAM PARK                             ,0.0,0.0,2.0,0.0,0.0,4,2,2.0,0.0,0.0,0.0,2,243
FAIRFIELD AREA                           ,4.0,0.0,95.0,0.0,5.0,111,96,94.0,1.0,1.0,0.0,104,381
FAIRMONT                                 ,6.0,0.0,7.0,0.0,0.0,9,7,7.0,0.0,0.0,0.0,13,155
FALLSTAFF                                ,3.0,1.0,3.0,0.0,0.0,5,3,3.0,0.0,0.0,0.0,7,886
FEDERAL HILL                             ,5.0,0.0,3.0,0.0,0.0,13,3,3.0,0.0,0.0,0.0,8,1366
FELLS POINT                              ,15.0,3.0,1.0,0.0,0.0,26,1,1.0,0.0,0.0,1.0,18,2333
FOREST PARK                              ,25.0,6.0,8.0,0.0,0.0,8,8,8.0,0.0,1.0,6.0,32,425
FOREST PARK GOLF COURSE                  ,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,120
FOUR BY FOUR                             ,75.0,3.0,1.0,0.0,0.0,2,2,1.0,0.0,1.0,3.0,76,526
FRANKFORD                                ,28.0,3.0,47.0,1.0,1.0,72,46,46.0,0.0,0.0,0.0,79,4182
FRANKLIN SQUARE                          ,322.0,16.0,171.0,92.0,93.0,264,229,170.0,42.0,44.0,15.0,561,1511
FRANKLINTOWN                             ,5.0,0.0,16.0,0.0,0.0,28,16,16.0,0.0,0.0,0.0,21,303
FRANKLINTOWN ROAD                        ,169.0,3.0,19.0,5.0,15.0,33,26,19.0,1.0,6.0,3.0,203,773
GARWYN OAKS                              ,9.0,2.0,6.0,0.0,0.0,6,6,6.0,0.0,0.0,1.0,16,312
GAY STREET                               ,38.0,2.0,24.0,20.0,5.0,44,31,23.0,4.0,4.0,2.0,67,358
GLEN                                     ,6.0,2.0,6.0,0.0,0.0,9,6,6.0,0.0,0.0,1.0,13,2155
GLEN OAKS                                ,2.0,0.0,0.0,0.0,0.0,7,0,0.0,0.0,0.0,0.0,2,768
GLENHAM-BELFORD                          ,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
GLENHAM-BELHAR                           ,23.0,2.0,5.0,0.0,0.0,11,5,5.0,0.0,0.0,1.0,29,2198
GRACELAND PARK                           ,12.0,1.0,13.0,0.0,0.0,18,13,13.0,0.0,0.0,1.0,25,916
GREATER MONDAWMIN                        ,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
GREEKTOWN                                ,5.0,3.0,2.0,0.0,0.0,9,2,2.0,0.0,0.0,0.0,10,2001
GREENMOUNT CEMETERY                      ,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
GREENMOUNT WEST                          ,14.0,7.0,17.0,1.0,1.0,28,18,17.0,0.0,0.0,4.0,36,653
GREENSPRING                              ,171.0,8.0,48.0,10.0,10.0,86,61,48.0,1.0,13.0,6.0,230,1183
GROVE PARK                               ,7.0,0.0,1.0,0.0,1.0,5,1,1.0,0.0,0.0,0.0,9,493
GUILFORD                                 ,3.0,1.0,2.0,0.0,0.0,6,2,2.0,0.0,0.0,1.0,5,816
GWYNNS FALLS                             ,43.0,0.0,7.0,0.0,4.0,13,7,7.0,0.0,0.0,0.0,54,583
GWYNNS FALLS/LEAKIN PARK                 ,1.0,0.0,7.0,0.0,0.0,23,7,7.0,0.0,0.0,0.0,8,26
HAMILTON HILLS                           ,12.0,5.0,9.0,0.0,1.0,23,9,9.0,0.0,0.0,2.0,25,2475
HAMPDEN                                  ,23.0,3.0,22.0,0.0,0.0,36,22,22.0,0.0,0.0,1.0,47,3367
HANLON-LONGWOOD                          ,36.0,11.0,34.0,0.0,3.0,38,31,31.0,0.0,0.0,5.0,79,918
HARFORD-ECHODALE/PERRING PARKWAY         ,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,2
HARLEM PARK                              ,583.0,14.0,156.0,125.0,185.0,396,308,153.0,73.0,90.0,13.0,917,1978
HARWOOD                                  ,21.0,14.0,3.0,1.0,2.0,8,5,3.0,1.0,0.0,6.0,35,741
HAWKINS POINT                            ,0.0,0.0,10.0,0.0,0.0,12,2,2.0,0.0,0.0,0.0,10,120
HERITAGE CROSSING                        ,2.0,0.0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,0.0,2,242
HERRING RUN PARK                         ,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0,2
HIGHLANDTOWN                             ,15.0,8.0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,5.0,18,1384
HILLEN                                   ,8.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,8,976
HOES HEIGHTS                             ,1.0,0.0,12.0,0.0,0.0,14,11,11.0,0.0,0.0,0.0,13,464
HOLABIRD INDUSTRIAL PARK                 ,0.0,0.0,0.0,0.0,0.0,11,0,0.0,0.0,0.0,0.0,0,105
HOLLINS MARKET                           ,54.0,4.0,18.0,8.0,10.0,33,20,18.0,0.0,0.0,3.0,84,1086
HOMELAND                                 ,1.0,3.0,1.0,0.0,0.0,2,1,1.0,0.0,0.0,1.0,4,1123
HOPKINS BAYVIEW                          ,0.0,0.0,0.0,0.0,0.0,8,0,0.0,0.0,0.0,0.0,0,49
HOWARD PARK                              ,29.0,6.0,21.0,0.0,6.0,26,21,21.0,0.0,0.0,2.0,60,2110
HUNTING RIDGE                            ,3.0,0.0,1.0,0.0,0.0,7,1,1.0,0.0,0.0,0.0,4,462
IDLEWOOD                                 ,5.0,0.0,3.0,0.0,0.0,3,3,3.0,0.0,0.0,0.0,8,1044
INNER HARBOR                             ,0.0,0.0,0.0,0.0,0.0,34,0,0.0,0.0,0.0,0.0,0,1804
IRVINGTON                                ,47.0,13.0,22.0,2.0,5.0,30,23,22.0,2.0,1.0,9.0,77,1300
JOHNS HOPKINS HOMEWOOD                   ,0.0,0.0,1.0,0.0,0.0,3,1,1.0,0.0,0.0,0.0,1,5
JOHNSTON SQUARE                          ,161.0,6.0,174.0,3.0,64.0,396,305,174.0,59.0,80.0,4.0,393,1204
JONES FALLS AREA                         ,0.0,0.0,5.0,0.0,1.0,20,6,5.0,1.0,0.0,0.0,6,47
JONESTOWN                                ,14.0,4.0,2.0,0.0,0.0,18,2,2.0,0.0,0.0,4.0,16,450
KENILWORTH PARK                          ,5.0,3.0,3.0,1.0,0.0,7,4,3.0,0.0,0.0,1.0,11,437
KENNETH SQUARE                           ,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,3
KERNEWOOD                                ,7.0,5.0,1.0,0.0,0.0,1,1,1.0,0.0,0.0,4.0,9,223
KESWICK                                  ,0.0,0.0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0,379
KRESSON                                  ,8.0,0.0,1.0,0.0,0.0,2,1,1.0,0.0,0.0,0.0,9,251
LAKE EVESHAM                             ,1.0,0.0,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,2,208
LAKE WALKER                              ,1.0,2.0,2.0,1.0,0.0,3,3,2.0,0.0,0.0,1.0,5,606
LAKELAND                                 ,29.0,6.0,5.0,1.0,0.0,19,6,5.0,0.0,0.0,3.0,38,1443
LANGSTON HUGHES                          ,59.0,2.0,11.0,7.0,14.0,22,20,11.0,3.0,7.0,2.0,83,439
LAURAVILLE                               ,14.0,3.0,23.0,0.0,2.0,30,23,23.0,0.0,0.0,2.0,40,1519
LEVINDALE                                ,3.0,1.0,3.0,0.0,0.0,4,3,3.0,0.0,0.0,1.0,6,251
LIBERTY SQUARE                           ,14.0,3.0,4.0,0.0,0.0,6,4,4.0,0.0,0.0,2.0,19,165
LITTLE ITALY                             ,6.0,0.0,0.0,0.0,0.0,5,0,0.0,0.0,0.0,0.0,6,368
LOCH RAVEN                               ,7.0,0.0,3.0,0.0,0.0,7,3,3.0,0.0,0.0,0.0,10,1464
LOCUST POINT                             ,1.0,0.0,1.0,0.0,0.0,20,1,1.0,0.0,0.0,0.0,2,1473
LOCUST POINT INDUSTRIAL AREA             ,0.0,0.0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,0,232
LOWER EDMONDSON VILLAGE                  ,23.0,3.0,10.0,0.0,0.0,10,10,10.0,0.0,0.0,2.0,34,232
