Neighborhood,2019MedianIncome,MedianIncomeChangeFrom2011,2019PercentPublicAssistance
Abell,87436,38316,0.019
Allendale,38282,1098,0.12
Arcadia,73231,5800,0.015
Arlington,33912,-5490,0.049
Armistead Gardens,43577,20079,0.069
Ashburton,54565,10943,
Baltimore Highlands,47303,10101,0.025
Barclay,34549,-3405,0.062
Barre Circle,55134,14584,0.046
Bayview,54653,12209,
Beechfield,54370,9497,0.044
Belair-Edison,51922,8491,0.07
Belair-Parkside,51922,8491,0.07
Bellona-Gittings,167464,18047,
Belvedere,77813,-1250,0.034
Berea,42351,13809,0.017
Better Waverly,41610,15071,0.09
Beverly Hills,78348,3160,0.027
Biddle Street,32522,2617,0.042
Blythewood,250000,-1,
Bolton Hill,63072,25653,0.025
Boyd-Booth,32344,11647,
Brewers Hill,111704,42021,0.01
Bridgeview/Greenlawn,37906,6579,0.076
Broadway East,34948,10610,0.073
Broening Manor,31985,4568,0.066
Brooklyn,41670,5142,0.073
Burleith-Leighton,32645,-933,0.072
Butcher's Hill,88464,14596,
Callaway-Garrison,49009,10072,0.093
Cameron Village,43174,8157,0.069
Canton,122912,47852,0.011
Canton Industrial Area,107688,62538,
CARE,51696,26037,0.036
Carroll - Camden Industrial Area,,,
Carroll Park,53929,-3299,
Carroll-South Hilton,38585,12367,0.016
Carrollton Ridge,32008,2277,0.086
Cedarcroft,115243,40974,
Cedmont,70005,17843,
Cedonia,64857,21818,0.047
Central Forest Park,50376,5920,0.057
Central Park Heights,43802,11862,0.066
Charles North,48634,18306,0.164
Charles Village,48618,15672,0.029
Cherry Hill,32265,9237,0.1
Cheswolde,81365,12055,0.014
Chinquapin Park,72801,3271,0.039
Clifton Park,77532,35803,
Coldspring,52251,8613,0.089
Coldstream Homestead Montebello,39439,6878,0.085
Concerned Citizens Of Forest Park,58037,24741,0.04
Coppin Heights/Ash-Co-East,44021,19156,0.022
Cross Country,62107,9956,0.032
Cross Keys,56490,-31465,0.7
Curtis Bay,40053,9417,0.158
Curtis Bay Industrial Area,1,-17499,1
Cylburn,50855,13652,0.065
Darley Park,29628,-3356,0.175
Dickeyville,31024,-7468,0.072
Dolfield,40616,1511,0.087
Dorchester,87851,58439,0.17
Downtown,47862,9850,0.4
Downtown West,61534,20553,
Druid Heights,36906,13509,0.051
Druid Hill Park,73741,23514,0.167
Dunbar-Broadway,40121,17068,0.096
Dundalk Marine Terminal,,,
East Arlington,44514,10603,0.031
East Baltimore Midway,34176,3839,0.087
Easterwood,39431,10589,0.043
Eastwood,46524,4287,0.109
Edgewood,35218,2562,0.065
Edmondson Village,43484,4447,0.103
Ednor Gardens-Lakeside,61028,9064,0.025
Ellwood Park/Monument,40868,4458,0.062
Evergreen,160625,81042,0.012
Evergreen Lawn,31708,-2695,0.137
Evesham Park,58790,19008,
Fairfield Area,38628,16329,0.525
Fairmont,24416,-15700,0.01
Fallstaff,42558,1152,0.05
Federal Hill,114032,20687,0.013
Fells Point,88092,38474,0.025
Forest Park,49159,-5725,0.01
Forest Park Golf Course,78440,22775,0.062
Four By Four,32992,-8536,0.041
Frankford,54855,11094,0.035
Franklin Square,26086,-8523,0.055
Franklintown,71615,31498,0.056
Franklintown Road,37248,10764,0.114
Garwyn Oaks,59364,28018,0.071
Gay Street,36394,3572,0.105
Glen,40923,-3887,0.033
Glen Oaks,60710,12157,0.04
Glenham-Belhar,72181,15638,0.034
Graceland Park,45155,8431,0.046
Greektown,84506,49109,0.017
Greenmount Cemetery,,,
Greenmount West,47588,12305,0.019
Greenspring,29250,2932,0.125
Grove Park,31979,-1259,0.08
Guilford,188116,8708,
Gwynns Falls,37960,2871,0.046
Gwynns Falls/Leakin Park,35579,5804,0.034
Hamilton Hills,61663,8494,0.0287
Hampden,85202,35424,0.025
Hanlon-Longwood,47949,17560,0.034
Harlem Park,24927,655,0.018
Harwood,60670,19295,0.044
Hawkins Point,1,-17499,
Heritage Crossing,,,
Herring Run Park,84160,22016,
Highlandtown,85149,28989,0.021
Hillen,55545,-87,
Hoes Heights,75645,12728,0.03
Holabird Industrial Park,32197,-7366,
Hollins Market,45377,2008,0.08
Homeland,120195,18471,0.049
Hopkins Bayview,62782,20132,
Howard Park,71315,27394,0.082
Hunting Ridge,80084,33386,0.022
Idlewood,68798,11133,0.062
Inner Harbor,109187,37279,
Irvington,48398,7182,0.066
Johns Hopkins Homewood,61398,13278,0.125
Johnston Square,41799,10152,0.099
Jones Falls Area,80888,34121,
Jonestown,26690,-14504,0.029
Kenilworth Park,40125,493,0.167
Kernewood,91083,30505,0.018
Keswick,115781,38750,
Kresson,84562,54498,
Lake Evesham,113834,29806,
Lake Walker,72994,32691,0.015
Lakeland,43066,-4563,0.034
Langston Hughes,31765,-14977,0.061
Lauraville,84048,29493,0.011
Levindale,31380,11170,0.098
Liberty Square,33750,18088,0.067
Little Italy,55724,7707,0.016
Loch Raven,50067,1544,0.036
Locust Point,139730,52907,0.5
Locust Point Industrial Area,135125,42896,
Lower Edmondson Village,34595,-14398,0.04
Lower Herring Run Park,46715,-1038,0.117
Loyola/Notre Dame,250000,-1,
Lucille Park,32567,-4411,0.01
Madison Park,22209,814,0.036
Madison-Eastend,33650,-5481,0.25
Mayfield,99500,35913,0.023
McElderry Park,54519,19545,0.077
Medfield,56250,3025,0.025
Medford,28289,8143,0.012
Mid-Govans,43458,-9434,0.072
Mid-Town Belvedere,39630,5776,0.016
Middle Branch/Reedbird Parks,41800,6910,
Middle East,34865,-4713,0.051
Midtown-Edmondson,28145,-2478,0.021
Millhill,44948,14879,0.03
Milton-Montford,39578,18794,0.029
Mondawmin,30484,2553,0.052
Montebello,78594,16524,
Moravia-Walther,71188,13323,0.034
Morgan Park,68083,12218,0.043
Morgan State University,53864,1325,0.015
Morrell Park,45561,-6624,0.027
Mosher,1,28136,0.135
Mount Holly,29280,-1111,0.086
Mount Vernon,39229,6412,0.04
Mount Washington,98736,16648,0.012
Mount Winans,20000,-21810,0.086
Mt Pleasant Park,50920,3934,
New Northwood,62803,13278,0.045
New Southwest/Mount Clare,24493,-8858,0.087
North Harford Road,68223,5585,0.022
North Roland Park/Poplar Hill,140062,8949,
Northwest Community Action,38758,9744,0.107
O'Donnell Heights,22960,5764,0.076
Oakenshawe,96419,32044,
Oaklee,60787,11620,0.048
Old Goucher,31252,13926,0.189
Oldtown,15724,2733,0.127
Oliver,36150,10636,0.077
Orangeville,51339,17991,
Orangeville Industrial Area,43577,18810,
