NoticeNum,DateNotice,Shape,BLOCKLOT,NEIGHBOR,Council_District,Typology2017,OBJECTID,ESRI_OID,x,y
999971A,"August 2, 2013",,0271 058,CARROLLTON RIDGE                         ,-426651064,J,737425,7539,1410925.5682562143,588850.490529567
999744A,"July 19, 2013",,0120 005,HARLEM PARK                              ,-422921256,J,729803,59,1412581.4727528095,592937.333733812
999741A,"July 19, 2013",,0015 007,SANDTOWN-WINCHESTER                      ,-422927064,J,724074,4897,1412520.6730056405,597601.345075056
999699A,"July 19, 2013",,0122 060,HARLEM PARK                              ,-422924088,J,730019,3823,1413174.4564749748,592919.9695953131
999655A,"July 19, 2013",,0226 009,CARROLLTON RIDGE                         ,-422927016,J,734884,3470,1412140.7272432148,590052.0829426497
99959A,"December 2, 2005",,1611 053,MADISON-EASTEND                          ,-422925480,I,774473,894,1431458.159080714,595324.9227906466
999592A,"July 19, 2013",,0157 040A,POPPLETON                                ,-422922072,Subsidized Rental Market,731278,6392,1416358.3638210595,592438.1414907277
999521A,"July 19, 2013",,0016 015,SANDTOWN-WINCHESTER                      ,-422923272,I,724111,10898,1413152.1825693846,597743.2824552208
999137A,"July 26, 2013",,0110 034,HARLEM PARK                              ,-422922120,J,729202,9846,1413112.9841569662,593583.9069157243
999075A,"August 23, 2013",,0277 065,NEW SOUTHWEST/MOUNT CLARE                ,-422922408,J,738071,3836,1413516.6240977198,589272.4791868925
99833A,"November 17, 2005",,7439A013,WESTPORT                                 ,-422923656,H,944269,7790,1416525.4550223053,581434.2248503119
998084A,"July 24, 2013",,7441 012,WESTPORT                                 ,-422921784,H,944284,3550,1416425.8282530606,581785.8691601455
99799A,"November 17, 2005",,7881 003,SAINT PAUL                               ,-422922648,H,951119,2978,1412395.5745025575,583645.4999553114
997926A,"July 18, 2013",,2243B011F,SAINT JOSEPHS                            ,-422923512,I,802681,6708,1404127.0008166432,589054.7666958123
997782A,"July 16, 2013",,0058 012,MIDTOWN-EDMONDSON                        ,-422923848,J,726361,12397,1411871.6116397232,595039.2097793967
997754A,"July 16, 2013",,2425 006,NORTHWEST COMMUNITY ACTION               ,-422922744,G,810017,1058,1406372.0888461322,597877.4127644002
997634A,"July 17, 2013",,0018 033,EASTERWOOD                               ,-422923464,I,724204,9346,1411394.5545229763,597151.2826549709
996820A,"July 18, 2013",,2303 040,COPPIN HEIGHTS/ASH-CO-EAST               ,-422923368,I,805428,4957,1410528.4945753068,598357.9698741436
996500A,"July 15, 2013",,4129 049,COLDSTREAM HOMESTEAD MONTEBELLO          ,-422923416,J,860737,7924,1426927.250491634,603136.6220622212
996438A,"July 22, 2013",,0120 011,HARLEM PARK                              ,-422921304,J,729809,2034,1412575.7946145535,593052.5546319783
996290A,"July 12, 2013",,2201 037,ROSEMONT HOMEOWNERS/TENANTS              ,-422922216,I,801504,12448,1410262.827783808,592953.1903293878
995633A,"July 12, 2013",,4620 039,CENTRAL PARK HEIGHTS                     ,-422921496,I,878037,12180,1404923.0143164694,610192.5492233038
995511A,"July 12, 2013",,1172 052,JOHNSTON SQUARE                          ,-422922024,H,762172,3521,1424709.0600461364,596471.8000900596
994967A,"July 19, 2013",,3417 055,PENN NORTH                               ,-422921064,I,834183,4048,1413994.542761311,600080.9290266484
994851A,"July 30, 2013",,3311 018,CENTRAL PARK HEIGHTS                     ,-422922600,J,830174,12090,1407065.3351630569,608642.8571127206
994588A,"July 10, 2013",,3845 008E,HARWOOD                                  ,-422923896,F,847779,447,1422434.7808020562,603080.4328701496
994433A,"July 23, 2013",,1479 070,BROADWAY EAST                            ,-422923320,I,768658,9931,1428066.8591047972,598111.5622304827
994320A,"July 10, 2013",,3003 037,WALBROOK                                 ,-422921688,H,821587,7586,1406073.565821141,598625.6694699824
994208A,"July 10, 2013",,0092 040,HARLEM PARK                              ,-422923704,I,728233,7502,1415857.509507805,594409.6378758103
993718A,"July 10, 2013",,3190B020,TOWANDA-GRANTLEY                         ,-422921928,J,826727,11773,1405934.9807964712,609223.7115940601
993439A,"July 10, 2013",,1215 033,GAY STREET                               ,-422923944,G,762980,7136,1426853.3923716396,595336.611415565
993158A,"July 6, 2013",,0213 011,FRANKLIN SQUARE                          ,-422922504,E,734239,12259,1413730.0301669687,590727.3985211402
99274A,"November 17, 2005",,3414 046,PENN NORTH                               ,-422923608,I,834033,9449,1414442.1179816425,599037.1706154794
992746A,"July 6, 2013",,2140 060,MILLHILL                                 ,-422921880,I,799432,12513,1409182.204288885,588094.3604801446
99249A,"November 17, 2005",,3228C030,PARKVIEW/WOODBROOK                       ,-422923176,I,828176,4991,1412147.9857588857,600445.2639278919
992314A,"July 3, 2013",,2362 021,ROSEMONT HOMEOWNERS/TENANTS              ,-422923128,H,807251,10794,1409355.5300577134,593300.5603695661
