X,Y,OBJECTID,Block,GroupStatus,DateUpdate,ID_PropertyStatus,ID_Demo_RFA,ID_Decision,CorePhase,ProjectedFiscalYear,ProjectedQuarter,DateStarted,Deconstruction,ReleasedToContractor,DateDemoFinished,Address,Lot,Neighborhood,SimplifiedStatus,Council_District,HousingMarketTypology2017,OBJECTID_1,BLOCKLOT
1411977.05860731,598288.49593173,1,0003,Final/Full Demo Complete,,,4018,90,,,,2019/10/11 00:00:00+00,,2019/10/11 00:00:00+00,2020/01/16 00:00:00+00,1801 N MONROE ST,054,SANDTOWN-WINCHESTER                      ,Demo Complete,7,I,723377,0003 054
1412193.65266231,598479.739971817,2,0003,Final/Full Demo Complete,2018/01/18 14:32:59+00,,3068,47,4,FY19,Q1,2018/10/18 00:00:00+00,,2018/05/21 00:00:00+00,2019/06/28 00:00:00+00,1827 MCKEAN AVE,067A,SANDTOWN-WINCHESTER                      ,Demo Complete,7,I,723390,0003 067A
1412671.21240272,598351.218575314,3,0004,Final/Full Demo Complete,2017/10/05 09:16:00+00,,2143,47,NA,FY18,Q2,2017/10/30 00:00:00+00,Y,2017/10/11 00:00:00+00,2017/11/28 00:00:00+00,1700 WESTWOOD AVE,051,SANDTOWN-WINCHESTER                      ,Demo Complete,7,I,723443,0004 051
1412657.73834831,598350.361621648,4,0004,Final/Full Demo Complete,2017/10/05 09:14:59+00,,2143,47,NA,FY18,Q2,2017/10/30 00:00:00+00,Y,2017/10/11 00:00:00+00,2017/11/28 00:00:00+00,1702 WESTWOOD AVE,052,SANDTOWN-WINCHESTER                      ,Demo Complete,7,I,723444,0004 052
1412644.09237821,598349.078487724,5,0004,Final/Full Demo Complete,2017/10/05 09:14:59+00,,2143,47,NA,FY18,Q2,2017/10/30 00:00:00+00,Y,2017/10/11 00:00:00+00,2017/11/28 00:00:00+00,1704 WESTWOOD AVE,053,SANDTOWN-WINCHESTER                      ,Demo Complete,7,I,723445,0004 053
1412630.92442556,598348.762871563,6,0004,Final/Full Demo Complete,2017/10/05 09:16:00+00,,2143,47,NA,FY18,Q2,2017/10/30 00:00:00+00,Y,2017/10/11 00:00:00+00,2017/11/28 00:00:00+00,1706 WESTWOOD AVE,054,SANDTOWN-WINCHESTER                      ,Demo Complete,7,I,723446,0004 054
1412844.08115147,598584.266337559,7,0005,Final/Full Demo Complete,2016/07/30 14:19:59+00,,1985,90,,,,2016/05/31 00:00:00+00,,2016/09/21 00:00:00+00,2016/07/26 00:00:00+00,1679 W NORTH AVE,019,SANDTOWN-WINCHESTER                      ,Demo Complete,7,J,723470,0005 019
1412829.12612888,598583.504528061,8,0005,Final/Full Demo Complete,2016/07/30 14:19:59+00,,1985,90,,,,2016/05/31 00:00:00+00,,2016/09/21 00:00:00+00,2016/07/26 00:00:00+00,1681 W NORTH AVE,020,SANDTOWN-WINCHESTER                      ,Demo Complete,7,J,723471,0005 020
1411182.63499931,597941.686914057,9,0006,Final/Full Demo Complete,2019/10/07 12:04:59+00,,4003,124,,FY21,Q3,2021/05/11 00:00:00+00,,2021/04/26 00:00:00+00,2021/06/02 00:00:00+00,2016 PRESBURY ST,038A,EASTERWOOD                               ,Demo Complete,7,I,723572,0006 038A
1411167.33319263,597940.402467817,10,0006,Final/Full Demo Complete,2019/10/07 12:08:00+00,,4003,124,,FY21,Q3,2021/05/11 00:00:00+00,,2021/04/26 00:00:00+00,2021/06/02 00:00:00+00,2018 PRESBURY ST,038B,EASTERWOOD                               ,Demo Complete,7,I,723573,0006 038B
1411744.64043698,598047.956386566,11,0007,Final/Full Demo Complete,2016/11/03 08:36:59+00,,2219,90,,FY18,Q2,2016/11/04 00:00:00+00,,2017/06/19 00:00:00+00,2017/10/30 00:00:00+00,1717 APPLETON ST,031,EASTERWOOD                               ,Demo Complete,7,I,723605,0007 031
1412086.32216831,597977.864991307,12,0008,Final/Full Demo Complete,,,3150,47,4,FY18,Q4,2018/10/23 00:00:00+00,,2018/05/21 00:00:00+00,2019/06/18 00:00:00+00,1704 MCKEAN AVE,044,SANDTOWN-WINCHESTER                      ,Demo Complete,7,I,723697,0008 044
1412086.3674438,597990.948626563,13,0008,Final/Full Demo Complete,2018/02/04 14:29:59+00,,3150,47,4,FY18,Q4,2018/10/23 00:00:00+00,,2018/05/21 00:00:00+00,2019/06/18 00:00:00+00,1706 MCKEAN AVE,045,SANDTOWN-WINCHESTER                      ,Demo Complete,7,I,723698,0008 045
1412084.23654255,598003.483378395,14,0008,Final/Full Demo Complete,2018/02/04 14:32:00+00,,3150,47,4,FY18,Q4,2018/10/23 00:00:00+00,,2018/05/21 00:00:00+00,2019/06/18 00:00:00+00,1708 MCKEAN AVE,046,SANDTOWN-WINCHESTER                      ,Demo Complete,7,I,723699,0008 046
1412084.2650858,598016.674296901,15,0008,Final/Full Demo Complete,2018/02/04 14:50:00+00,,3150,47,4,FY18,Q4,2018/10/23 00:00:00+00,,2018/05/21 00:00:00+00,2019/06/18 00:00:00+00,1710 MCKEAN AVE,047,SANDTOWN-WINCHESTER                      ,Demo Complete,7,I,723700,0008 047
1412084.66534747,598030.055503726,16,0008,Final/Full Demo Complete,2018/02/04 14:51:00+00,,3150,47,4,FY18,Q4,2018/10/23 00:00:00+00,,2018/05/21 00:00:00+00,2019/06/18 00:00:00+00,1712 MCKEAN AVE,048,SANDTOWN-WINCHESTER                      ,Demo Complete,7,I,723701,0008 048
1412083.2454028,598042.760202721,17,0008,Final/Full Demo Complete,,,3150,47,4,FY18,Q4,2018/10/23 00:00:00+00,,2018/05/21 00:00:00+00,2019/06/18 00:00:00+00,1714 MCKEAN AVE,049,SANDTOWN-WINCHESTER                      ,Demo Complete,7,I,723702,0008 049
1412082.21358073,598055.195545316,18,0008,Final/Full Demo Complete,2018/02/04 14:52:59+00,,3150,47,4,FY18,Q4,2018/10/23 00:00:00+00,,2018/05/21 00:00:00+00,2019/06/18 00:00:00+00,1716 MCKEAN AVE,050,SANDTOWN-WINCHESTER                      ,Demo Complete,7,I,723703,0008 050
1412081.24803147,598068.634166732,19,0008,Final/Full Demo Complete,2018/02/04 14:54:00+00,,3150,47,4,FY18,Q4,2018/10/23 00:00:00+00,,2018/05/21 00:00:00+00,2019/06/18 00:00:00+00,1718 MCKEAN AVE,051,SANDTOWN-WINCHESTER                      ,Demo Complete,7,I,723704,0008 051
1412504.29377331,597972.412574396,20,0009,Final/Full Demo Complete,2016/07/03 09:04:59+00,,1810,90,,,,2016/04/03 00:00:00+00,,2016/06/23 00:00:00+00,2016/06/21 00:00:00+00,1701 N FULTON AVE,001,SANDTOWN-WINCHESTER                      ,Demo Complete,7,I,723734,0009 001
1412503.54344672,597988.740625724,21,0009,Final/Full Demo Complete,2016/07/03 09:04:59+00,,1810,90,,,,2016/04/03 00:00:00+00,,2016/06/23 00:00:00+00,2016/06/21 00:00:00+00,1703 N FULTON AVE,002,SANDTOWN-WINCHESTER                      ,Demo Complete,7,I,723735,0009 002
1412502.57199197,598003.832787141,22,0009,Final/Full Demo Complete,2016/07/03 09:06:00+00,,1810,90,,,,2016/04/03 00:00:00+00,,2016/06/23 00:00:00+00,2016/06/21 00:00:00+00,1705 N FULTON AVE,003,SANDTOWN-WINCHESTER                      ,Demo Complete,7,I,723736,0009 003
1412623.7108573,598204.077793479,23,0009,Final/Full Demo Complete,,,3766,90,,,,2019/02/28 00:00:00+00,,2019/04/08 00:00:00+00,2019/05/15 00:00:00+00,1721 WESTWOOD AVE,024,SANDTOWN-WINCHESTER                      ,Demo Complete,7,I,723757,0009 024
1412658.92600997,598066.074132472,24,0009,Final/Full Demo Complete,2016/06/07 09:56:59+00,,1939,90,,,,2016/05/03 00:00:00+00,,2016/08/12 00:00:00+00,2016/07/28 00:00:00+00,1701 N BRUCE ST,060,SANDTOWN-WINCHESTER                      ,Demo Complete,7,I,723792,0009 060
1412878.97675097,598058.173557729,25,0010,Final/Full Demo Complete,2016/08/03 14:23:00+00,,1914,90,,,,2016/05/28 00:00:00+00,,2016/02/15 00:00:00+00,2016/07/25 00:00:00+00,1701 N MOUNT ST,031,SANDTOWN-WINCHESTER                      ,Demo Complete,7,I,723831,0010 031
1412890.66832864,598012.40986973,26,0010,Final/Full Demo Complete,2017/03/03 03:01:59+00,,1351,47,NA,FY18,Q2,2017/12/01 00:00:00+00,Y,2017/04/07 00:00:00+00,2018/02/16 00:00:00+00,1618 PRESBURY ST,035,SANDTOWN-WINCHESTER                      ,Demo Complete,7,I,723835,0010 035
1412902.98884206,598013.240904808,27,0010,Final/Full Demo Complete,2017/09/22 17:58:59+00,,1351,47,NA,FY18,Q2,2017/12/01 00:00:00+00,Y,2017/04/07 00:00:00+00,2018/02/16 00:00:00+00,1616 PRESBURY ST,036,SANDTOWN-WINCHESTER                      ,Demo Complete,7,I,723836,0010 036
1412915.00883114,598013.335064724,28,0010,Final/Full Demo Complete,2017/03/03 03:01:59+00,,1351,47,NA,FY18,Q2,2017/12/01 00:00:00+00,Y,2017/04/07 00:00:00+00,2018/02/16 00:00:00+00,1614 PRESBURY ST,037,SANDTOWN-WINCHESTER                      ,Demo Complete,7,I,723837,0010 037
1412927.0232428,598014.048317894,29,0010,Final/Full Demo Complete,2017/03/03 03:01:00+00,,1351,47,NA,FY18,Q2,2017/12/01 00:00:00+00,Y,2017/04/07 00:00:00+00,2018/02/16 00:00:00+00,1612 PRESBURY ST,038,SANDTOWN-WINCHESTER                      ,Demo Complete,7,I,723838,0010 038
1412939.96711455,598014.87410365,30,0010,Final/Full Demo Complete,2017/03/03 03:01:00+00,,1351,47,NA,FY18,Q2,2017/12/01 00:00:00+00,Y,2017/04/07 00:00:00+00,2018/02/16 00:00:00+00,1610 PRESBURY ST,039,SANDTOWN-WINCHESTER                      ,Demo Complete,7,I,723839,0010 039
