,Neighborhood,VAC:PROG,REC:PROG,ADOPT:PROG,BID:PROG,VACandADOPT,VACandREC,VACandBID,ADOPTandBID,REAL:Vacant,AnyProgram,TotalParcels,NotCityOwned,CityOwned,CityOwnedProgramSubset,AdditionalVacants,population,white,blk_afam,amind_akna,asian,nathaw_pac,other_race,twoormore,hisp_lat,male,female,age0_4,age5_11,age12_14,age15_17,age18_24,age25_34,age35_44,age45_64,age65ovr,families,married,married18,malehh,malehh18,femalehh,femalehh18,housing,occupied,occ_own,occ_rent,vacant,vac_rent,vac_sale,vac_other,pop_dens,pop_chng,hh_chng,avehhsize,2019MedianIncome,MedianIncomeChangeFrom2011,2019PercentPublicAssistance
1,ABELL,7.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,8.0,9,467,464.0,3.0,1.0,1.0,889.0,606.0,213.0,3.0,33.0,1.0,4.0,29.0,30.0,424.0,465.0,55.0,43.0,5.0,10.0,118.0,254.0,149.0,186.0,69.0,159.0,105.0,41.0,12.0,4.0,42.0,19.0,515.0,440.0,248.0,192.0,75.0,49.0,4.0,22.0,12180.5280869,-107.0,-45.0,2.02045011,87436.0,38316.0,0.019
2,ALLENDALE,49.0,7.0,18.0,0.0,0.0,1.0,0.0,0.0,58.0,73,1353,1321.0,32.0,18.0,10.0,3554.0,18.0,3497.0,8.0,6.0,0.0,5.0,20.0,21.0,1536.0,2018.0,179.0,315.0,136.0,181.0,317.0,383.0,315.0,1039.0,689.0,874.0,253.0,62.0,111.0,34.0,510.0,193.0,1608.0,1433.0,818.0,615.0,175.0,99.0,20.0,56.0,8747.46982184,-150.0,-11.0,2.47244,38282.0,1098.0,0.12
3,ARCADIA,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6,468,467.0,1.0,1.0,2.0,1235.0,623.0,537.0,4.0,12.0,0.0,10.0,49.0,31.0,592.0,643.0,101.0,85.0,40.0,55.0,116.0,188.0,164.0,380.0,106.0,305.0,194.0,79.0,23.0,9.0,88.0,40.0,510.0,462.0,356.0,106.0,48.0,14.0,9.0,25.0,5463.14180959,-17.0,-8.0,2.67316007,73231.0,5800.0,0.015
4,ARLINGTON,107.0,8.0,12.0,16.0,0.0,3.0,5.0,7.0,128.0,128,991,957.0,34.0,23.0,21.0,2598.0,33.0,2496.0,3.0,9.0,0.0,10.0,47.0,17.0,1219.0,1379.0,148.0,237.0,92.0,114.0,231.0,297.0,305.0,775.0,399.0,585.0,215.0,63.0,76.0,28.0,294.0,130.0,1312.0,1079.0,485.0,594.0,233.0,64.0,24.0,145.0,14385.2387423,-437.0,-126.0,2.38369011,33912.0,-5490.0,0.049
5,ARMISTEADGARDENS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,18,17.0,1.0,,,3458.0,2698.0,108.0,51.0,14.0,8.0,413.0,166.0,841.0,1621.0,1837.0,266.0,330.0,113.0,125.0,272.0,496.0,438.0,929.0,489.0,877.0,431.0,164.0,115.0,47.0,331.0,160.0,1543.0,1459.0,981.0,478.0,84.0,26.0,17.0,41.0,7313.99894072,547.0,176.0,2.37012004,43577.0,20079.0,0.069
6,ASHBURTON,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5,996,991.0,5.0,2.0,2.0,2520.0,33.0,2431.0,6.0,4.0,0.0,15.0,31.0,39.0,1082.0,1438.0,106.0,178.0,79.0,103.0,192.0,214.0,250.0,791.0,607.0,625.0,326.0,99.0,65.0,21.0,234.0,78.0,1202.0,1097.0,787.0,310.0,105.0,18.0,14.0,73.0,7150.32636247,8.0,-16.0,2.29444003,54565.0,10943.0,
7,BALTIMOREHIGHLANDS,23.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,27,1063,1062.0,1.0,1.0,12.0,2703.0,1023.0,700.0,63.0,75.0,11.0,693.0,138.0,1117.0,1485.0,1218.0,253.0,203.0,85.0,95.0,358.0,569.0,413.0,500.0,227.0,514.0,194.0,90.0,108.0,35.0,212.0,119.0,1148.0,876.0,302.0,574.0,272.0,98.0,45.0,129.0,17840.2120197,387.0,-79.0,3.08561992,47303.0,10101.0,0.025
8,BARCLAY,66.0,7.0,61.0,3.0,0.0,4.0,2.0,0.0,78.0,131,1129,983.0,146.0,71.0,13.0,2181.0,302.0,1764.0,10.0,23.0,0.0,35.0,47.0,78.0,1149.0,1032.0,127.0,129.0,42.0,57.0,255.0,368.0,280.0,740.0,183.0,379.0,119.0,24.0,52.0,10.0,208.0,97.0,1490.0,955.0,223.0,732.0,535.0,127.0,33.0,375.0,15517.3631535,-537.0,-132.0,2.1329801,34549.0,-3405.0,0.062
9,BARRECIRCLE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,161,156.0,5.0,1.0,,450.0,228.0,154.0,6.0,34.0,0.0,12.0,16.0,14.0,224.0,226.0,14.0,19.0,7.0,10.0,82.0,165.0,62.0,65.0,26.0,69.0,49.0,14.0,7.0,5.0,13.0,5.0,245.0,209.0,98.0,111.0,36.0,11.0,3.0,22.0,18790.2626146,117.0,64.0,2.15311002,55134.0,14584.0,0.046
10,BAYVIEW,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2,938,938.0,,,1.0,2263.0,1481.0,234.0,7.0,123.0,0.0,342.0,76.0,519.0,1151.0,1112.0,189.0,133.0,53.0,74.0,221.0,479.0,284.0,522.0,308.0,502.0,285.0,124.0,76.0,31.0,141.0,62.0,1114.0,968.0,520.0,448.0,146.0,60.0,20.0,66.0,24224.9290561,87.0,-75.0,2.32851004,54653.0,12209.0,
