ID_AcqFirefly,OBJECTID,BLOCKLOT,Address,Status,Neighborhood,Council_District,HousingMarketTypology2017,Shape,x,y
1673489,723278,0002 036,1945 W NORTH AVE,Available,EASTERWOOD                               ,7,I,,1411499.8800997138,598490.0053712279
1673354,723368,0003 045,1821 N MONROE ST,Available,SANDTOWN-WINCHESTER                      ,7,I,,1411976.4683853835,598417.1000052243
1673176,723695,0008 042,1700 MCKEAN AVE,Available,SANDTOWN-WINCHESTER                      ,7,I,,1412088.14795205,597952.1688484699
1673971,723792,0009 060,1701 N BRUCE ST,Available,SANDTOWN-WINCHESTER                      ,7,I,,1412658.926009968,598066.0741324723
1673846,723824,0010 024,1647 WESTWOOD AVE,Available,SANDTOWN-WINCHESTER                      ,7,I,,1412855.9016658813,598209.198846221
1673972,723834,0010 034,1620 PRESBURY ST,Available,SANDTOWN-WINCHESTER                      ,7,I,,1412879.8435471356,598010.7310673147
1673698,723911,0012 056,1623 APPLETON ST,Available,EASTERWOOD                               ,7,I,,1411767.518672049,597632.6586607248
1675207,723931,0012 076,1648 N MONROE ST,Available,EASTERWOOD                               ,7,I,,1411856.2566835582,597819.1235108972
1675208,723951,0012 096,1608 N MONROE ST,Available,EASTERWOOD                               ,7,I,,1411870.2924166322,597539.2464459836
1673519,724001,0013A046,1635 N MONROE ST,Available,SANDTOWN-WINCHESTER                      ,7,J,,1412004.9201001376,597726.8149684817
1673795,724024,0014 013,1624 N FULTON AVE,Available,SANDTOWN-WINCHESTER                      ,7,J,,1412334.0952948034,597673.1300364733
1675209,724053,0014 042,1627 MCKEAN AVE,Available,SANDTOWN-WINCHESTER                      ,7,J,,1412242.0718567967,597681.7881556451
1673796,724068,0015 001,1601 N FULTON AVE,Available,SANDTOWN-WINCHESTER                      ,7,J,,1412519.9574558884,597513.8603418916
1673694,724130,0017 005,1608 N CALHOUN ST,Available,SANDTOWN-WINCHESTER                      ,7,I,,1413417.3989024758,597648.6802822202
1673204,724171,0017 046,1530 BAKER ST,Available,SANDTOWN-WINCHESTER                      ,7,I,,1413307.2849494666,597571.7450686395
1675294,724338,0020 029,1801 BAKER ST,Available,SANDTOWN-WINCHESTER                      ,7,J,,1412292.0822554678,597392.6371591389
1673805,724388,0020 058,1527 MCKEAN AVE,Available,SANDTOWN-WINCHESTER                      ,7,J,,1412270.4635322988,597157.578246057
1673806,724389,0020 059,1529 MCKEAN AVE,Available,SANDTOWN-WINCHESTER                      ,7,J,,1412269.9372866303,597169.2954142243
1673807,724390,0020 060,1531 MCKEAN AVE,Available,SANDTOWN-WINCHESTER                      ,7,J,,1412269.4520513862,597181.2875162214
1673797,724391,0020 061,1533 MCKEAN AVE,Available,SANDTOWN-WINCHESTER                      ,7,J,,1412268.975346297,597193.2796182334
1673798,724393,0020 063,1537 MCKEAN AVE,Available,SANDTOWN-WINCHESTER                      ,7,J,,1412268.0078285486,597217.2648064792
1673799,724394,0020 064,1539 MCKEAN AVE,Available,SANDTOWN-WINCHESTER                      ,7,J,,1412267.5271864682,597229.2552680671
1673800,724395,0020 065,1541 MCKEAN AVE,Available,SANDTOWN-WINCHESTER                      ,7,J,,1412267.0468724668,597241.2450734824
1673801,724396,0020 066,1543 MCKEAN AVE,Available,SANDTOWN-WINCHESTER                      ,7,J,,1412266.5649180561,597253.2352069765
1673802,724397,0020 067,1545 MCKEAN AVE,Available,SANDTOWN-WINCHESTER                      ,7,J,,1412266.0770581365,597265.2273089737
1673803,724398,0020 068,1547 MCKEAN AVE,Available,SANDTOWN-WINCHESTER                      ,7,J,,1412265.6000249684,597277.2200671434
1673804,724399,0020 069,1549 MCKEAN AVE,Available,SANDTOWN-WINCHESTER                      ,7,J,,1412265.1252883822,597289.2131533921
1673847,724400,0020 070,1551 MCKEAN AVE,Available,SANDTOWN-WINCHESTER                      ,7,J,,1412264.6407093108,597301.2052553892
1673848,724401,0020 071,1553 MCKEAN AVE,Available,SANDTOWN-WINCHESTER                      ,7,J,,1412264.1626918912,597313.1983416378
1673849,724402,0020 072,1555 MCKEAN AVE,Available,SANDTOWN-WINCHESTER                      ,7,J,,1412263.6643332988,597325.1894593984
1673647,724497,0021 075,1710 PRESSTMAN ST,Available,SANDTOWN-WINCHESTER                      ,7,J,,1412754.872668475,597060.7815236449
1673818,724671,0026 013,1424 N FULTON AVE,Available,SANDTOWN-WINCHESTER                      ,7,I,,1412382.2503822148,596811.5651585609
1674728,724707,0026 049,1855-1857 Kavanaugh St,Available,SANDTOWN-WINCHESTER                      ,7,I,,1412028.9653276354,596700.2799480557
1674718,724767,0027 008,1414 N Mount St,Available,SANDTOWN-WINCHESTER                      ,7,I,,1412804.0339874774,596731.0443222225
1673819,724773,0027 014,1426 N MOUNT ST,Available,SANDTOWN-WINCHESTER                      ,7,I,,1412798.0769783854,596808.1127376407
1675295,724819,0027 061,1702 LORMAN ST,Available,SANDTOWN-WINCHESTER                      ,7,I,,1412749.1256327182,596659.5861318111
1673820,724829,0027 071,1402 N BRUCE ST,Available,SANDTOWN-WINCHESTER                      ,7,I,,1412633.5061133057,596712.987599805
1673821,724830,0027 072,1404 N BRUCE ST,Available,SANDTOWN-WINCHESTER                      ,7,I,,1412632.899815306,596725.3028638959
1673822,724832,0027 074,1408 N BRUCE ST,Available,SANDTOWN-WINCHESTER                      ,7,I,,1412631.76103805,596746.9127288163
1673824,724833,0027 075,1410 N BRUCE ST,Available,SANDTOWN-WINCHESTER                      ,7,I,,1412631.436235547,596758.1089006364
1675360,724834,0027 076,1412 N BRUCE ST,Available,SANDTOWN-WINCHESTER                      ,7,I,,1412630.83059372,596768.9842069745
1675361,724835,0027 077,1414 N BRUCE ST,Available,SANDTOWN-WINCHESTER                      ,7,I,,1412629.8168162256,596780.3657458872
1675210,724836,0027 078,1416 N BRUCE ST,Available,SANDTOWN-WINCHESTER                      ,7,I,,1412629.5920791328,596791.5130333155
1675211,724837,0027 079,1418 N BRUCE ST,Available,SANDTOWN-WINCHESTER                      ,7,I,,1412629.0349936336,596802.3994944841
1675212,724838,0027 080,1420 N BRUCE ST,Available,SANDTOWN-WINCHESTER                      ,7,I,,1412628.51301305,596813.2803782225
1675213,724839,0027 081,1422 N BRUCE ST,Available,SANDTOWN-WINCHESTER                      ,7,I,,1412627.9523186386,596824.1674955636
1675362,724840,0027 082,1424 N BRUCE ST,Available,SANDTOWN-WINCHESTER                      ,7,I,,1412627.4152462184,596835.0601903051
1675363,724841,0027 083,1426 N BRUCE ST,Available,SANDTOWN-WINCHESTER                      ,7,I,,1412626.8328983039,596846.7452063113
1673825,724842,0027 084,1428 N BRUCE ST,Available,SANDTOWN-WINCHESTER                      ,7,I,,1412626.188870728,596859.6280545592
