,BLOCKLOT,BID:PROG,BID:Neighborhood,BID:Typology,BID:Address
0,0002036,1,EASTERWOOD                               ,I,1945 W NORTH AVE
1,0003045,1,SANDTOWN-WINCHESTER                      ,I,1821 N MONROE ST
2,0008042,1,SANDTOWN-WINCHESTER                      ,I,1700 MCKEAN AVE
3,0009060,1,SANDTOWN-WINCHESTER                      ,I,1701 N BRUCE ST
4,0010024,1,SANDTOWN-WINCHESTER                      ,I,1647 WESTWOOD AVE
5,0010034,1,SANDTOWN-WINCHESTER                      ,I,1620 PRESBURY ST
6,0012056,1,EASTERWOOD                               ,I,1623 APPLETON ST
7,0012076,1,EASTERWOOD                               ,I,1648 N MONROE ST
8,0012096,1,EASTERWOOD                               ,I,1608 N MONROE ST
9,0013A046,1,SANDTOWN-WINCHESTER                      ,J,1635 N MONROE ST
10,0014013,1,SANDTOWN-WINCHESTER                      ,J,1624 N FULTON AVE
11,0014042,1,SANDTOWN-WINCHESTER                      ,J,1627 MCKEAN AVE
12,0015001,1,SANDTOWN-WINCHESTER                      ,J,1601 N FULTON AVE
13,0017005,1,SANDTOWN-WINCHESTER                      ,I,1608 N CALHOUN ST
14,0017046,1,SANDTOWN-WINCHESTER                      ,I,1530 BAKER ST
15,0020029,1,SANDTOWN-WINCHESTER                      ,J,1801 BAKER ST
16,0020058,1,SANDTOWN-WINCHESTER                      ,J,1527 MCKEAN AVE
17,0020059,1,SANDTOWN-WINCHESTER                      ,J,1529 MCKEAN AVE
18,0020060,1,SANDTOWN-WINCHESTER                      ,J,1531 MCKEAN AVE
19,0020061,1,SANDTOWN-WINCHESTER                      ,J,1533 MCKEAN AVE
20,0020063,1,SANDTOWN-WINCHESTER                      ,J,1537 MCKEAN AVE
21,0020064,1,SANDTOWN-WINCHESTER                      ,J,1539 MCKEAN AVE
22,0020065,1,SANDTOWN-WINCHESTER                      ,J,1541 MCKEAN AVE
23,0020066,1,SANDTOWN-WINCHESTER                      ,J,1543 MCKEAN AVE
24,0020067,1,SANDTOWN-WINCHESTER                      ,J,1545 MCKEAN AVE
25,0020068,1,SANDTOWN-WINCHESTER                      ,J,1547 MCKEAN AVE
26,0020069,1,SANDTOWN-WINCHESTER                      ,J,1549 MCKEAN AVE
27,0020070,1,SANDTOWN-WINCHESTER                      ,J,1551 MCKEAN AVE
28,0020071,1,SANDTOWN-WINCHESTER                      ,J,1553 MCKEAN AVE
29,0020072,1,SANDTOWN-WINCHESTER                      ,J,1555 MCKEAN AVE
30,0021075,1,SANDTOWN-WINCHESTER                      ,J,1710 PRESSTMAN ST
31,0026013,1,SANDTOWN-WINCHESTER                      ,I,1424 N FULTON AVE
32,0026049,1,SANDTOWN-WINCHESTER                      ,I,1855-1857 Kavanaugh St
33,0027008,1,SANDTOWN-WINCHESTER                      ,I,1414 N Mount St
34,0027014,1,SANDTOWN-WINCHESTER                      ,I,1426 N MOUNT ST
35,0027061,1,SANDTOWN-WINCHESTER                      ,I,1702 LORMAN ST
36,0027071,1,SANDTOWN-WINCHESTER                      ,I,1402 N BRUCE ST
37,0027072,1,SANDTOWN-WINCHESTER                      ,I,1404 N BRUCE ST
38,0027074,1,SANDTOWN-WINCHESTER                      ,I,1408 N BRUCE ST
39,0027075,1,SANDTOWN-WINCHESTER                      ,I,1410 N BRUCE ST
40,0027076,1,SANDTOWN-WINCHESTER                      ,I,1412 N BRUCE ST
41,0027077,1,SANDTOWN-WINCHESTER                      ,I,1414 N BRUCE ST
42,0027078,1,SANDTOWN-WINCHESTER                      ,I,1416 N BRUCE ST
43,0027079,1,SANDTOWN-WINCHESTER                      ,I,1418 N BRUCE ST
44,0027080,1,SANDTOWN-WINCHESTER                      ,I,1420 N BRUCE ST
45,0027081,1,SANDTOWN-WINCHESTER                      ,I,1422 N BRUCE ST
46,0027082,1,SANDTOWN-WINCHESTER                      ,I,1424 N BRUCE ST
47,0027083,1,SANDTOWN-WINCHESTER                      ,I,1426 N BRUCE ST
48,0027084,1,SANDTOWN-WINCHESTER                      ,I,1428 N BRUCE ST
49,0027085,1,SANDTOWN-WINCHESTER                      ,I,1403 N BRUCE ST
50,0027086,1,SANDTOWN-WINCHESTER                      ,I,1405 N BRUCE ST
51,0027087,1,SANDTOWN-WINCHESTER                      ,I,1407 N BRUCE ST
