X,Y,OBJECTID,OBJECTID_1,ID_RS_Web,BLOCKLOT,Address,DateFiled,ReceiverAppointed,DateAuction,SoldAtAuction,Neighborhood,Council_District,HousingMarketTypology2017
1412957.33650239,598591.581611648,1,723462,5193,0005 011,1663 W NORTH AVE,2018/07/06 00:00:00+00,2018/09/12 00:00:00+00,,,SANDTOWN-WINCHESTER                      ,7,J
1411394.55452298,597151.282654971,2,724204,6379,0018 033,1520 N PAYSON ST,2019/12/19 00:00:00+00,2021/04/07 00:00:00+00,,,EASTERWOOD                               ,7,I
1412880.38521272,595116.15844439,3,726534,4533,0060 005,1008 N MOUNT ST,2016/07/25 00:00:00+00,2016/12/21 00:00:00+00,,,SANDTOWN-WINCHESTER                      ,9,I
1412642.02315664,595187.962106556,4,726549,4450,0060 049,1021 N FULTON AVE,2016/07/25 00:00:00+00,,,,SANDTOWN-WINCHESTER                      ,9,I
1412643.50937414,595174.45425956,5,726550,4534,0060 050,1019 N FULTON AVE,2016/10/24 00:00:00+00,,,,SANDTOWN-WINCHESTER                      ,9,I
1412804.64684714,595086.990851805,6,726566,4462,0060 066,1704 MOSHER ST,2016/07/25 00:00:00+00,,,,SANDTOWN-WINCHESTER                      ,9,I
1413017.20974222,595349.110078231,7,726595,6231,0061 030,1045 N MOUNT ST,2019/08/13 00:00:00+00,,,,SANDTOWN-WINCHESTER                      ,9,I
1413027.69069238,595167.117660061,8,726608,4521,0061 044,1017 N MOUNT ST,2016/07/25 00:00:00+00,2016/12/14 00:00:00+00,2017/10/17 00:00:00+00,,SANDTOWN-WINCHESTER                      ,9,I
1412889.93801513,594974.484843224,9,727178,4519,0073 024,930 N MOUNT ST,2016/07/18 00:00:00+00,,,,SANDTOWN-WINCHESTER                      ,9,I
1412893.63879514,594899.227447808,10,727183,4452,0073 029,920 N MOUNT ST,2016/07/13 00:00:00+00,,,,SANDTOWN-WINCHESTER                      ,9,I
1412894.35106406,594884.477477312,11,727184,4453,0073 030,918 N MOUNT ST,2016/07/13 00:00:00+00,,,,SANDTOWN-WINCHESTER                      ,9,I
1413040.90260822,594842.898164138,12,727217,4467,0074 002,929 N MOUNT ST,2016/07/19 00:00:00+00,,,,SANDTOWN-WINCHESTER                      ,9,I
1414680.86159864,594193.608124137,13,728713,6526,0102 026,1215 W LANVALE ST,2020/02/28 00:00:00+00,,,,HARLEM PARK                              ,9,I
1412547.67656055,593478.686981812,14,729081,6202,0108 010,618 N FULTON AVE,2019/09/04 00:00:00+00,2020/01/15 00:00:00+00,2020/10/27 00:00:00+00,,HARLEM PARK                              ,9,J
1413080.20075797,593397.08445473,15,729211,5380,0110 043,1626 EDMONDSON AVE,2018/02/09 00:00:00+00,2018/07/25 00:00:00+00,,,HARLEM PARK                              ,9,J
1413097.29291539,593397.821001813,16,729212,5379,0110 044,1624 EDMONDSON AVE,2018/02/09 00:00:00+00,2018/07/25 00:00:00+00,,,HARLEM PARK                              ,9,J
1413217.45638897,593429.41969189,17,729219,5377,0110 051,1610 EDMONDSON AVE,2018/02/23 00:00:00+00,2018/04/25 00:00:00+00,,,HARLEM PARK                              ,9,J
1415353.49772055,593617.443594053,18,729393,2552,0114 051,618 N ARLINGTON AVE,2007/12/27 00:00:00+00,,,,HARLEM PARK                              ,9,I
1411209.28717697,592806.854992136,19,729534,4640,0117 003,504 N PULASKI ST,2016/12/14 00:00:00+00,,,,MIDTOWN-EDMONDSON                        ,9,I
1411208.66775563,592820.804111227,20,729535,4639,0117 004,506 N PULASKI ST,2016/12/14 00:00:00+00,2017/02/22 00:00:00+00,2021/06/10 00:00:00+00,2021/06/10 00:00:00+00,MIDTOWN-EDMONDSON                        ,9,I
1410945.62464656,592879.432274804,21,729567,5205,0117 039,2100 W FRANKLIN ST,2017/10/05 00:00:00+00,,,,MIDTOWN-EDMONDSON                        ,9,I
1411336.36599106,593068.292461395,22,729589,4644,0118 021,541 N PULASKI ST,2018/08/03 00:00:00+00,,,,MIDTOWN-EDMONDSON                        ,9,J
1411335.65929955,593083.316053391,23,729590,4510,0118 022,543 N PULASKI ST,2016/10/26 00:00:00+00,,,,MIDTOWN-EDMONDSON                        ,9,J
1413364.43608189,593171.546191901,24,729977,6229,0122 017,534 N GILMOR ST,2019/08/13 00:00:00+00,2020/01/08 00:00:00+00,2021/06/08 00:00:00+00,,HARLEM PARK                              ,9,J
1413174.45647497,592919.969595313,25,730019,6203,0122 060,1624 W FRANKLIN ST,2019/08/13 00:00:00+00,,,,HARLEM PARK                              ,9,J
1413227.85006897,592922.620508641,26,730023,6204,0122 064,1616 W FRANKLIN ST,2019/09/04 00:00:00+00,2019/10/30 00:00:00+00,2021/10/12 00:00:00+00,2021/10/12 00:00:00+00,HARLEM PARK                              ,9,J
1413779.61897856,593193.669835314,27,730047,6228,0123 016,530 N STRICKER ST,2019/09/04 00:00:00+00,2020/01/15 00:00:00+00,2021/06/08 00:00:00+00,2021/06/08 00:00:00+00,HARLEM PARK                              ,9,I
1413532.55746481,593111.937715307,28,730068,6233,0123 037,525 N GILMOR ST,2019/09/04 00:00:00+00,2019/12/18 00:00:00+00,2021/06/08 00:00:00+00,,HARLEM PARK                              ,9,I
1413536.55056706,593027.582569063,29,730073,6227,0123 042,515 N GILMOR ST,2019/09/04 00:00:00+00,2019/10/30 00:00:00+00,2021/06/08 00:00:00+00,,HARLEM PARK                              ,9,I
1415372.09709281,593310.22012715,30,730288,2556,0127 049,528 N ARLINGTON AVE,2007/11/09 00:00:00+00,,,,HARLEM PARK                              ,9,I
1415363.41896056,593290.826793224,31,730289,2561,0127 050,526 N ARLINGTON AVE,2007/12/27 00:00:00+00,,,,HARLEM PARK                              ,9,I
1412758.33066681,592383.321718484,32,730808,5151,0149 065,325 N FULTON AVE,2017/12/06 00:00:00+00,,,,FRANKLIN SQUARE                          ,9,J
1413414.14136305,592290.029910311,33,730825,4628,0150 005,308 N GILMOR ST,2016/12/07 00:00:00+00,2019/07/24 00:00:00+00,,,FRANKLIN SQUARE                          ,9,J
1413413.37725697,592307.0105194,34,730826,4894,0150 006,310 N GILMOR ST,2016/12/08 00:00:00+00,2019/07/24 00:00:00+00,,,FRANKLIN SQUARE                          ,9,J
1413967.79051822,592319.96751447,35,730948,6179,0152 007,313 N STRICKER ST,2019/03/22 00:00:00+00,2019/11/06 00:00:00+00,,,FRANKLIN SQUARE                          ,9,J
