BlockLot,StreetName,HouseNum,Dir,StreetType,Zip,Neighborhood,Lawyer,Project Name,Receiver Appointed,Auction Date,x,y
3836A010,GREENMOUNT,2622,,AVE,21218,HARWOOD,SETH GREER,Harwood,"January 22, 2019",,,
2484031,DENISON,620,,ST,21229,EDMONDSON VILLAGE,BLAIR GRIFFITH,,"April 10, 2019",,,
1534011,BIDDLE,2120,E,ST,21213,BROADWAY EAST,EVAN HELFRICH,2100-2200 Biddle,"November 12, 2019",,,
1676096,STREEPER,401,N,ST,21224,MCELDERRY PARK,EVAN HELFRICH,Helfrich Special,"December 17, 2019",,,
3230008,PARKWOOD,2815,,AVE,21217,PARKVIEW/WOODBROOK,BLAIR GRIFFITH,Timothy 6 18,"January 15, 2019",,,
2849B007,DUVALL,4022,,AVE,21216,WINDSOR HILLS,JANE LEWIS,,"February 26, 2019",,,
3349007,LOYOLA NORTHWAY,2610,,,21215,GREENSPRING,SOPHIE ASIKE,Loyola Northway,"January 15, 2019",,,
4543A036,SAINT CHARLES,5212,,AVE,21215,WOODMERE,BLAIR GRIFFITH,,"January 29, 2019",,,
2739003,FOREST PARK,4104,W,AVE,21207,CENTRAL FOREST PARK,BLAIR GRIFFITH,,"December 17, 2019",,,
3059B004,PIEDMONT,3213,,AVE,21216,HANLON-LONGWOOD,BLAIR GRIFFITH,,"March 26, 2019",,,
3463E018,LINDEN,2517,,AVE,21217,RESERVOIR HILL,SOPHIE ASIKE,Reservoir Hill,"February 26, 2019",,,
0168034,CAREY,232,N,ST,21223,FRANKLIN SQUARE,JANE LEWIS,Franklin Square Elementary,"October 20, 2020",,,
2284008,EDMONDSON,3515,,AVE,21229,ALLENDALE,JANE LEWIS,,"January 15, 2019",,,
0846035,AMITY,409,S,ST,21223,WASHINGTON VILLAGE,LENEHN RICKS,Scott St,"January 15, 2019",,,
0150005,GILMOR,308,N,ST,21223,FRANKLIN SQUARE,LENEHN RICKS,Franklin Square Elementary,"July 23, 2019",,,
2528K028,AUGUSTA,1202,N,AVE,21229,EDMONDSON VILLAGE,JANE LEWIS,,"May 28, 2019",,,
3059B026,ELLAMONT,2500,N,ST,21216,HANLON-LONGWOOD,BLAIR GRIFFITH,,"April 30, 2019",,,
3022004,WINDSOR,3027,,AVE,21216,WALBROOK,BLAIR GRIFFITH,,"August 20, 2019",,,
0562020,HOWARD,400,N,ST,21201,DOWNTOWN,AMY HELBIG,,"July 30, 2019",,,
0704021,MONROE,510,S,ST,21223,CARROLLTON RIDGE,SHEA BEITLER-AKMAN,Eagle and Mason,"October 20, 2020",,,
2283003,EDMONDSON,3407,,AVE,21229,ALLENDALE,JANE LEWIS,,"February 5, 2019",,,
0217010,BALTIMORE,1119,W,ST,21223,HOLLINS MARKET,SHEA BEITLER-AKMAN,,"January 28, 2020",,,
2707006A,GARRISON,4400,,BLVD,21215,WEST ARLINGTON,BLAIR GRIFFITH,,"March 3, 2020",,,
8245013,GWYNN OAK,3700,,AVE,21207,HOWARD PARK,BLAIR GRIFFITH,,"January 8, 2019",,,
2506A013,MOUNT HOLLY,715,,ST,21229,EDMONDSON VILLAGE,JANE LEWIS,,"November 19, 2019",,,
0200017,FAYETTE,1033,W,ST,21223,POPPLETON,JANE LEWIS,1000 West Fayette,"April 30, 2019",,,
0711010,EAGLE,1800,,ST,21223,CARROLLTON RIDGE,SHEA BEITLER-AKMAN,Eagle and Mason,"January 15, 2019",,,
0711012,EAGLE,1804,,ST,21223,CARROLLTON RIDGE,SHEA BEITLER-AKMAN,Eagle and Mason,"January 15, 2019",,,
0711013,EAGLE,1806,,ST,21223,CARROLLTON RIDGE,SHEA BEITLER-AKMAN,Eagle and Mason,"January 15, 2019",,,
4511A037,CORDELIA,5311,,AVE,21215,ARLINGTON,BLAIR GRIFFITH,,"March 3, 2020",,,
0711011,EAGLE,1802,,ST,21223,CARROLLTON RIDGE,SHEA BEITLER-AKMAN,Eagle and Mason,"January 15, 2019",,,
5158069,SHERIDAN,538,,AVE,21212,WOODBOURNE-MCCABE,KENT GRASSO,,"October 29, 2019",,,
4057A068,36TH,753,E,ST,21218,WAVERLY,KENT GRASSO,,"December 22, 2019",,,
4804A011,VIRGINIA,3020,,AVE,21215,CYLBURN,BLAIR GRIFFITH,,"August 13, 2019",,,
2393065,WINCHESTER,2701,,ST,21216,WINCHESTER,BLAIR GRIFFITH,,"March 19, 2019",,,
0177003,LEXINGTON,1913,W,ST,21223,PENROSE/FAYETTE STREET OUTREAC,BLAIR GRIFFITH,1900 W Lexington,"November 5, 2019",,,
2960019,RIDGEWOOD,3915,,AVE,21215,DOLFIELD,BLAIR GRIFFITH,,"December 1, 2020",,,
0150006,GILMOR,310,N,ST,21223,FRANKLIN SQUARE,SHEA BEITLER-AKMAN,Franklin Square Elementary,"July 23, 2019",,,
0150006,GILMOR,310,N,ST,21223,FRANKLIN SQUARE,SHEA BEITLER-AKMAN,Franklin Square Elementary,"July 23, 2019",,,
4070A087,BOONE,2648,,ST,21218,BETTER WAVERLY,KENT GRASSO,Matthews and 27th,"January 15, 2019",,,
4071034,MATHEWS,2708,,ST,21218,BETTER WAVERLY,KENT GRASSO,Matthews and 27th,"April 10, 2019",,,
3327A024,PARK HEIGHTS,3651,,AVE,21215,PARK CIRCLE,BLAIR GRIFFITH,Park Heights Ave Phase 9,"March 19, 2019",,,
3325003,PARK HEIGHTS,3504,,AVE,21215,PARK CIRCLE,BLAIR GRIFFITH,Park Heights Ave Phase 9,"May 18, 2021",,,
0279016,GILMOR,311,S,ST,21223,NEW SOUTHWEST/MOUNT CLARE,SHEA BEITLER-AKMAN,Ramsay-Gilmor,"January 15, 2019",,,
0279035,RAMSAY,1520,,ST,21223,NEW SOUTHWEST/MOUNT CLARE,SHEA BEITLER-AKMAN,Ramsay-Gilmor,"January 15, 2019",,,
5898C017,PARKSIDE,3703,,DR,21206,BELAIR-PARKSIDE,AMY HELBIG,,"July 16, 2019",,,
4600029,CORDELIA,4909,,AVE,21215,LANGSTON HUGHES,BLAIR GRIFFITH,,"August 20, 2019",,,
1148012,CENTRAL,1323,N,AV,21202,OLIVER,EVAN HELFRICH,CENTRAL AVE,"January 22, 2019",,,
1137041,CAROLINE,1413,N,ST,21213,OLIVER,EVAN HELFRICH,Upper Caroline St.,"July 30, 2019",,,
