,BLOCKLOT,VAC:PROG,VAC:Neighborhood,VAC:Typology
0,0271058,1,CARROLLTON RIDGE,J
1,0120005,1,HARLEM PARK,J
2,0015007,1,SANDTOWN-WINCHESTER,J
3,0122060,1,HARLEM PARK,J
4,0226009,1,CARROLLTON RIDGE,J
5,1611053,1,MADISON-EASTEND,I
6,0157040A,1,POPPLETON,Subsidized Rental Market
7,0016015,1,SANDTOWN-WINCHESTER,I
8,0110034,1,HARLEM PARK,J
9,0277065,1,NEW SOUTHWEST/MOUNT CLARE,J
10,7439A013,1,WESTPORT,H
11,7441012,1,WESTPORT,H
12,7881003,1,SAINT PAUL,H
13,2243B011F,1,SAINT JOSEPHS,I
14,0058012,1,MIDTOWN-EDMONDSON,J
15,2425006,1,NORTHWEST COMMUNITY ACTION,G
16,0018033,1,EASTERWOOD,I
17,2303040,1,COPPIN HEIGHTS/ASH-CO-EAST,I
18,4129049,1,COLDSTREAM HOMESTEAD MONTEBELLO,J
19,0120011,1,HARLEM PARK,J
20,2201037,1,ROSEMONT HOMEOWNERS/TENANTS,I
21,4620039,1,CENTRAL PARK HEIGHTS,I
22,1172052,1,JOHNSTON SQUARE,H
23,3417055,1,PENN NORTH,I
24,3311018,1,CENTRAL PARK HEIGHTS,J
25,3845008E,1,HARWOOD,F
26,1479070,1,BROADWAY EAST,I
27,3003037,1,WALBROOK,H
28,0092040,1,HARLEM PARK,I
29,3190B020,1,TOWANDA-GRANTLEY,J
30,1215033,1,GAY STREET,G
31,0213011,1,FRANKLIN SQUARE,E
32,3414046,1,PENN NORTH,I
33,2140060,1,MILLHILL,I
34,3228C030,1,PARKVIEW/WOODBROOK,I
35,2362021,1,ROSEMONT HOMEOWNERS/TENANTS,H
36,1162025,1,OLIVER,H
37,0189018,1,PENROSE/FAYETTE STREET OUTREACH,J
38,2370008,1,WINCHESTER,I
39,2394041,1,MOSHER,I
40,0288044,1,CARROLLTON RIDGE,J
41,2445029,1,FRANKLINTOWN ROAD,I
42,4614018,1,CENTRAL PARK HEIGHTS,I
43,1351014,1,DOWNTOWN,B
44,0271030,1,CARROLLTON RIDGE,J
45,3411022,1,PENN NORTH,I
46,4544D017,1,ARLINGTON,I
47,0271006,1,CARROLLTON RIDGE,J
48,4595009,1,LANGSTON HUGHES,I
49,2230L040,1,CARROLL-SOUTH HILTON,H
50,2451045,1,ROSEMONT,I
51,2252A034,1,SAINT JOSEPHS,H
52,3243004,1,PARKVIEW/WOODBROOK,H
53,2170A098,1,SHIPLEY HILL,J
54,4163018,1,DARLEY PARK,J
55,3244028,1,PARKVIEW/WOODBROOK,I
56,1486037,1,BEREA,I
57,0076013,1,SANDTOWN-WINCHESTER,J
58,2173013,1,SHIPLEY HILL,J
59,0104036,1,HARLEM PARK,I
60,4544A004A,1,ARLINGTON,I
61,5906027,1,BELAIR-EDISON,H
62,7441A001,1,WESTPORT,H
63,1468069,1,BROADWAY EAST,I
64,1215032,1,GAY STREET,G
65,2444018,1,WINCHESTER,I
66,1473046,1,BROADWAY EAST,J
67,2409A012,1,ROSEMONT,I
68,1537034,1,BROADWAY EAST,J
69,4577B031,1,CENTRAL PARK HEIGHTS,I
70,4576007,1,LANGSTON HUGHES,I
71,0578014,1,DOWNTOWN,Rental Market 1
72,1534057,1,BROADWAY EAST,J
73,2165042,1,SHIPLEY HILL,J
74,0050016,1,SANDTOWN-WINCHESTER,J
75,1536023,1,BROADWAY EAST,J
76,4580012,1,CENTRAL PARK HEIGHTS,I
77,3211073,1,MONDAWMIN,J
78,0205002,1,BOYD-BOOTH,J
79,1484034,1,BROADWAY EAST,J
80,0320009,1,UPTON,I
81,0791051,1,WASHINGTON VILLAGE/PIGTOWN,F
82,0125052,1,HARLEM PARK,I
83,3347F034,1,GREENSPRING,I
84,2255027,1,SAINT JOSEPHS,H
85,4002020,1,EAST BALTIMORE MIDWAY,J
86,2275B015,1,SAINT JOSEPHS,H
87,4552006,1,ARLINGTON,I
88,3228B039,1,PARKVIEW/WOODBROOK,I
89,4616071,1,CENTRAL PARK HEIGHTS,I
90,1449102,1,BROADWAY EAST,I
91,3402023,1,PENN NORTH,H
92,4070A039,1,BETTER WAVERLY,J
93,0164120,1,FRANKLIN SQUARE,G
94,0702009,1,CARROLLTON RIDGE,J
95,0271015,1,CARROLLTON RIDGE,J
96,0271016,1,CARROLLTON RIDGE,J
97,0272039,1,CARROLLTON RIDGE,J
98,2442023A,1,ROSEMONT,I
99,0272058,1,CARROLLTON RIDGE,J
100,3327F081,1,PARK CIRCLE,G
101,0036A014,1,SANDTOWN-WINCHESTER,G
102,0273080,1,CARROLLTON RIDGE,J
103,4607059,1,CENTRAL PARK HEIGHTS,J
104,4608030,1,CENTRAL PARK HEIGHTS,J
105,4550004,1,ARLINGTON,I
106,2155003,1,PENROSE/FAYETTE STREET OUTREACH,I
107,0275005,1,CARROLLTON RIDGE,J
108,0243086,1,CARROLLTON RIDGE,I
109,0698101,1,CARROLLTON RIDGE,J
110,0288031,1,CARROLLTON RIDGE,J
111,0699031,1,CARROLLTON RIDGE,J
112,0275135,1,CARROLLTON RIDGE,J
113,4575007,1,LANGSTON HUGHES,I
114,3301090,1,CENTRAL PARK HEIGHTS,I
115,4595018C,1,LANGSTON HUGHES,I
116,4574011,1,LANGSTON HUGHES,I
117,0273068,1,CARROLLTON RIDGE,J
118,4595032,1,LANGSTON HUGHES,I
119,3304019,1,CENTRAL PARK HEIGHTS,I
120,3304022,1,CENTRAL PARK HEIGHTS,I
121,3347D038,1,GREENSPRING,I
122,1537011,1,BROADWAY EAST,J
